kepid,label,has_confirmed_planet,confirmed_planet_count,detectable_planet_count,confirmed_planet_names,split,signal_count,periods_days,epochs_bkjd,durations_hours,quarters
5542466,CONFIRMED,1,1,1,Kepler-1756 b,test,1,2.35574505,177.88824,1.796,4;5;6
5881688,CONFIRMED,1,1,1,Kepler-696 b,test,1,4.190425659,171.44122,2.8589,4;5;6
7849854,CONFIRMED,1,1,1,Kepler-718 b,test,1,2.052349884,169.890622,2.0778,4;5;6
8878187,CONFIRMED,1,1,1,Kepler-650 b,test,1,3.032147946,171.734281,3.8627,4;5;6
9995402,CONFIRMED,1,1,1,Kepler-1361 b,test,1,3.57551429,132.86125,2.364,4;5;6
1026356,CONTROL,0,0,0,,test,0,,,,4;5;6
1578131,CONTROL,0,0,0,,test,0,,,,4;5;6
2016219,CONTROL,0,0,0,,test,0,,,,4;5;6
2140552,CONTROL,0,0,0,,test,0,,,,4;5;6
2163634,CONTROL,0,0,0,,test,0,,,,4;5;6
2167548,CONTROL,0,0,0,,test,0,,,,4;5;6
2306909,CONTROL,0,0,0,,test,0,,,,4;5;6
2307473,CONTROL,0,0,0,,test,0,,,,4;5;6
2452180,CONTROL,0,0,0,,test,0,,,,4;5;6
2846375,CONTROL,0,0,0,,test,0,,,,4;5;6
2986893,CONTROL,0,0,0,,test,0,,,,4;5;6
2987113,CONTROL,0,0,0,,test,0,,,,4;5;6
3100129,CONTROL,0,0,0,,test,0,,,,4;5;6
3120841,CONTROL,0,0,0,,test,0,,,,4;5;6
3121430,CONTROL,0,0,0,,test,0,,,,4;5;6
3247527,CONTROL,0,0,0,,test,0,,,,4;5;6
3248077,CONTROL,0,0,0,,test,0,,,,4;5;6
3330307,CONTROL,0,0,0,,test,0,,,,4;5;6
3347135,CONTROL,0,0,0,,test,0,,,,4;5;6
3439208,CONTROL,0,0,0,,test,0,,,,4;5;6
3446319,CONTROL,0,0,0,,test,0,,,,4;5;6
3456968,CONTROL,0,0,0,,test,0,,,,4;5;6
3531292,CONTROL,0,0,0,,test,0,,,,4;5;6
3545749,CONTROL,0,0,0,,test,0,,,,4;5;6
3630934,CONTROL,0,0,0,,test,0,,,,4;5;6
3645684,CONTROL,0,0,0,,test,0,,,,4;5;6
