kepid,label,has_confirmed_planet,confirmed_planet_count,detectable_planet_count,confirmed_planet_names,split,signal_count,periods_days,epochs_bkjd,durations_hours,quarters
757450,CONFIRMED,1,1,1,Kepler-75 b,train,1,8.884922995,169.991686,2.07004,4;5;6
1026957,CONFIRMED,1,1,1,Kepler-1731 b,train,1,21.76129812,166.540438,1.243,4;5;6
1161345,CONFIRMED,1,1,1,Kepler-1973 b,train,1,4.28746668,262.06245,1.5693,4;5;6
1432789,CONFIRMED,1,1,1,Kepler-745 b,train,1,9.93146307,136.49128,5.678,4;5;6
1718189,CONFIRMED,1,2,2,Kepler-262 b;Kepler-262 c,train,2,13.0607936;21.85362905,137.63148;144.32031,3.215;3.439,4;5;6
1718958,CONFIRMED,1,1,1,Kepler-1934 b,train,1,1.41975831,132.92,1.429,4;5;6
1725016,CONFIRMED,1,1,1,Kepler-748 b,train,1,7.40742502,355.49652,3.675,4;5;6
1872821,CONFIRMED,1,1,1,Kepler-1828 b,train,1,10.27380957,134.65748,3.252,4;5;6
1873513,CONFIRMED,1,1,1,Kepler-1624 b,train,1,3.290304098,131.90944,1.7215,4;5;6
1995519,CONFIRMED,1,1,1,Kepler-1299 b,train,1,19.9401211,142.34849,4.283,4;5;6
1996180,CONFIRMED,1,1,1,Kepler-1271 b,train,1,3.02558494,134.36744,3.0008,4;5;6
2142522,CONFIRMED,1,1,1,Kepler-1224 b,train,1,13.32354078,134.03671,3.873,4;5;6
2161536,CONFIRMED,1,1,1,Kepler-1798 b,train,1,16.85592593,138.26808,2.309,4;5;6
2165002,CONFIRMED,1,2,1,Kepler-263 b;Kepler-263 c,train,1,16.56806842,146.15285,4.2647,4;5;6
2302548,CONFIRMED,1,2,2,Kepler-261 b;Kepler-261 c,train,2,10.38122447;24.5709023,268.02421;135.87209,2.715;3.587,4;5;6
2304320,CONFIRMED,1,1,1,Kepler-1064 b,train,1,16.54081386,133.95274,2.5996,4;5;6
2307415,CONFIRMED,1,2,2,Kepler-356 b;Kepler-356 c,train,2,4.6126736;13.12162167,132.7757;133.39526,3.0643;3.6138,4;5;6
2438264,CONFIRMED,1,2,2,Kepler-156 b;Kepler-156 c,train,2,4.973455252;15.90688891,170.885791;177.9305,1.6519;3.9879,4;5;6
2438513,CONFIRMED,1,1,1,Kepler-1777 b,train,1,12.18420006,139.05644,2.5014,4;5;6
2439243,CONFIRMED,1,1,1,Kepler-1172 b,train,1,26.0203329,154.5286,4.965,4;5;6
2441495,CONFIRMED,1,1,1,Kepler-479 b,train,1,12.49340725,138.462232,2.2614,4;5;6
2444412,CONFIRMED,1,1,1,Kepler-1710 b,train,1,14.91095177,141.336726,3.325,4;5;6
2556650,CONFIRMED,1,1,1,Kepler-1124 b,train,1,2.852348262,132.044534,0.7051,4;5;6
2557816,CONFIRMED,1,1,1,Kepler-575 b,train,1,9.3789167,176.45197,3.3427,4;5;6
2571238,CONFIRMED,1,1,1,Kepler-19 b,train,1,9.286964466,135.9945,3.3649,4;5;6
2574338,CONFIRMED,1,1,1,Kepler-1733 b,train,1,9.22961384,138.43961,2.235,4;5;6
2581316,CONFIRMED,1,2,1,Kepler-1514 c;Kepler-1514 b,train,1,10.51421162,134.56738,3.877,4;5;6
